country,iso3c,2011 score,2011 rank,2012 score,2012 rank,2013 score,2013 rank,2014 score,2014 rank,2015 score,2015 rank,2016 score,2016 rank,2017 score,2017 rank,2018 score,2018 rank,2019 score,2019 rank,2020 score,2020 rank,2021 score,2021 rank,2022 score,2022 rank,2023 score,2023 rank,2024 score,2024 rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,1.962,60,1.627,63,1.39,66,0.888,75,0.368,95,0.536,87,1.933,61,2.225,60,1.82,64,1.259,67,1.579,58,1.868,58,1.274,63,0.801,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,0.059,110,0.03,112,0,111,0,110,0,107,0.423,88,0.233,95,0.123,102,0.059,104,0.03,99,0,96,0,94,0.720,73,0.720,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,0,114,0,113,0,111,1.55,65,1.605,65,1.461,70,1.712,64,1.903,66,1.448,68,1.834,59,1.266,62,2.085,55,1.475,59,1.973,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,0.959,81,0.548,88,0.299,91,0,110,0,107,1.962,62,1.397,68,1.198,75,0.74,83,2.666,50,2.081,53,1.502,63,0.953,70,0.582,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,1.775,65,1.236,69,0.582,83,0.31,91,0.167,102,0.423,88,0.233,95,0.123,102,0.059,104,0.03,99,0,96,0,94,0.423,80,0.233,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,4.407,23,3.715,32,3.03,40,2.302,53,4.186,36,3.473,44,4.194,35,3.492,46,2.823,53,1.898,58,3.828,30,3.088,36,3.932,32,4.043,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,0.443,91,0.233,97,0.123,99,1.893,60,1.584,67,4.913,27,4.271,32,3.765,43,3.021,49,2.365,51,0.687,71,1.578,62,1.904,54,1.347,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,0,114,0,113,0,111,0,110,0,107,0,106,0,107,0,109,1.293,72,0.841,74,2.446,51,4.205,27,4.898,24,4.802,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,0,114,0,113,0,111,0,110,2.309,52,4.736,30,5.433,21,6.168,15,7.382,7,7.646,6,7.833,4,8.161,2,8.580,1,8.581,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,3.122,42,3.387,37,3.463,34,3.086,37,4.415,31,4.862,29,4.689,30,4.031,38,3.695,40,3.324,41,3.332,41,2.647,46,3.411,34,3.030,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
