Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Tanzania,2021,61st,79.3,5.2,6.2,4.9,5.8,7.0,7.0,7.5,8.8,6.2,8.6,5.5,6.6
Lesotho,2021,64th,77.9,6.4,7.3,2.7,8.8,8.2,7.5,4.7,7.5,5.1,8.4,4.3,7.0
Nicaragua,2021,65th,77.1,5.8,7.1,5.9,6.0,7.0,7.7,8.6,6.4,7.3,4.8,3.7,6.8
India,2021,66th,77.0,6.6,7.3,8.2,7.0,6.2,5.5,4.3,7.5,7.7,8.1,4.1,4.5
Jordan,2021,67th,76.8,5.2,6.9,8.6,6.9,4.8,5.1,6.3,5.0,6.8,6.1,8.6,6.5
Kyrgyzstan,2021,68th,76.4,6.2,8.3,8.1,7.1,4.9,6.7,8.0,5.3,6.3,5.5,4.1,5.9
Laos,2021,69th,76.0,4.4,8.3,7.2,5.1,5.3,6.8,9.0,6.6,6.9,6.4,5.1,4.9
Brazil,2021,70th,75.8,6.8,6.5,7.7,6.4,7.0,3.9,7.0,7.4,7.4,8.8,3.3,3.6
Azerbaijan,2021,71st,75.1,6.4,7.9,6.1,4.7,5.1,4.3,9.1,5.5,7.7,4.2,6.9,7.2
Tajikistan,2021,71st,75.1,5.7,8.4,6.7,6.3,4.3,5.6,9.2,4.9,8.5,7.0,3.6,4.9
Bolivia,2021,73rd,74.9,5.9,8.5,5.6,5.9,8.2,6.2,7.0,6.9,5.9,7.1,3.1,4.6
Algeria,2021,74th,73.6,6.0,7.5,7.2,6.8,5.6,5.5,7.8,5.6,6.3,4.8,6.8,3.7
Russia,2021,74th,73.6,7.7,8.4,8.0,5.2,5.2,3.4,8.5,4.3,8.9,4.6,4.6,4.8
Senegal,2021,76th,73.4,5.1,7.0,5.2,7.3,6.7,7.5,3.6,7.5,4.8,7.1,6.1,5.5
Bosnia and Herzegovina,2021,77th,72.9,5.0,8.7,6.6,6.4,4.1,6.5,6.2,4.8,4.9,5.1,7.0,7.6
Benin,2021,78th,72.8,5.3,6.7,2.6,6.7,8.2,6.5,5.1,8.5,4.9,7.7,5.1,5.5
Georgia,2021,79th,72.6,5.6,9.1,7.3,5.7,4.4,5.5,8.2,4.4,4.8,4.5,6.3,6.8
Uzbekistan,2021,80th,72.0,6.2,8.8,6.0,5.4,5.7,5.2,9.3,4.6,7.6,4.8,4.4,4.0
Micronesia,2021,81st,71.7,3.7,5.6,3.7,8.5,7.1,9.0,4.3,6.7,3.5,6.0,3.6,10.0
El Salvador,2021,82nd,71.6,6.6,4.8,5.5,6.1,5.4,8.4,4.4,6.8,5.5,7.0,5.5,5.6
Sao Tome and Principe,2021,83rd,71.5,4.7,6.3,4.2,8.9,6.2,7.9,4.4,6.4,3.0,6.7,4.9,7.9
Morocco,2021,83rd,71.5,4.9,6.6,8.5,6.2,5.0,7.5,6.8,5.1,5.6,4.8,5.3,5.2
Peru,2021,85th,71.4,6.1,7.4,8.6,4.8,6.4,6.2,7.2,7.4,3.5,7.4,4.1,2.3
Ecuador,2021,86th,71.2,5.9,8.2,6.1,6.3,6.0,4.6,5.7,6.6,4.2,6.9,5.6,5.1
Thailand,2021,87th,70.9,8.2,9.7,7.3,3.9,4.5,4.1,7.7,4.0,7.9,5.9,5.1,2.6
Fiji,2021,88th,70.4,6.5,7.9,5.7,7.7,5.1,7.6,5.7,4.4,5.7,4.1,2.8,7.2
South Africa,2021,89th,70.0,6.4,6.3,5.9,8.3,6.7,4.9,5.9,6.9,4.2,7.1,4.2,3.2
Mexico,2021,90th,69.9,8.5,5.4,6.3,5.0,5.3,4.9,5.5,6.9,5.8,6.7,5.0,4.6
Armenia,2021,91st,69.8,5.7,7.0,5.3,6.6,3.6,6.8,6.9,3.9,6.0,4.4,6.6,7.0
Ukraine,2021,91st,69.8,6.7,8.0,5.7,6.8,3.2,5.8,6.8,4.5,6.0,4.3,4.2,7.8
Saudi Arabia,2021,93rd,69.7,5.7,8.5,9.0,4.3,4.7,3.3,7.8,4.4,8.6,4.9,3.8,4.7
Tunisia,2021,94th,69.2,7.1,7.5,7.1,7.8,4.5,5.8,5.9,5.0,5.5,4.3,3.5,5.2
China,2021,95th,68.9,5.5,7.2,7.1,3.7,5.9,3.8,8.5,5.3,9.6,5.9,3.7,2.7
Bhutan,2021,96th,68.3,3.3,7.5,9.1,5.0,4.7,6.1,3.1,6.2,5.2,5.2,5.8,7.1
Turkmenistan,2021,97th,68.2,5.1,7.8,5.6,4.9,6.0,4.5,9.8,4.7,8.6,5.4,2.9,2.9
Belarus,2021,98th,68.0,5.6,8.8,5.9,5.1,3.7,4.1,9.0,3.3,7.9,5.1,2.4,7.1
Indonesia,2021,99th,67.6,5.8,7.1,7.1,4.3,4.8,6.3,4.4,6.1,6.4,6.8,4.2,4.3
Maldives,2021,99th,67.6,5.5,8.1,4.0,6.5,2.8,5.6,7.5,5.4,7.5,5.4,3.7,5.6
Serbia,2021,101st,67.4,4.5,8.3,7.1,6.1,4.3,5.9,5.5,3.9,3.5,3.9,7.4,7.0
Gabon,2021,101st,67.4,4.8,8.0,2.6,5.9,5.7,5.2,7.5,6.5,6.7,6.7,3.3,4.5
Moldova,2021,103rd,67.0,5.1,8.3,6.4,5.9,3.8,7.5,5.7,5.2,4.5,5.4,3.0,6.2
Bahrain,2021,104th,66.7,5.9,7.6,9.6,4.1,5.3,3.0,8.0,3.5,8.6,4.1,1.7,5.3
Paraguay,2021,105th,66.4,6.3,7.8,4.6,4.9,7.1,5.0,6.6,6.3,5.5,5.5,3.0,3.8
Guyana,2021,106th,66.1,7.1,5.1,6.5,4.5,4.7,8.2,4.6,6.4,3.3,5.8,3.4,6.5
Dominican Republic,2021,107th,64.7,6.1,6.2,4.6,5.1,4.9,6.6,6.0,7.0,4.7,6.7,2.6,4.2
North Macedonia,2021,108th,64.5,4.7,7.3,6.0,6.5,4.5,6.0,5.1,4.8,3.0,4.2,6.9,5.5
Namibia,2021,109th,64.3,4.8,3.5,4.6,7.4,7.4,6.2,3.0,7.4,2.6,8.1,4.1,5.2
Samoa,2021,110th,64.2,3.8,5.1,4.5,6.5,3.7,9.9,4.3,4.8,3.6,5.2,2.9,9.9
Cabo Verde,2021,110th,64.2,4.8,5.5,2.9,6.5,5.5,7.7,4.1,5.6,2.8,6.8,3.6,8.4
Belize,2021,110th,64.2,7.4,4.3,4.7,7.7,4.2,5.7,4.0,6.0,5.4,5.0,3.1,6.7
Ghana,2021,113th,63.9,4.6,5.4,3.2,5.5,6.4,7.2,3.2,7.4,4.4,6.9,4.0,5.7
Vietnam,2021,114th,63.3,3.9,6.9,5.2,3.9,3.8,5.3,8.4,4.3,7.8,5.0,4.5,4.3
Suriname,2021,115th,61.5,4.0,5.8,6.4,7.8,5.3,5.6,3.8,5.2,4.2,5.3,3.1,5.0
Kazakhstan,2021,116th,61.2,4.0,7.6,8.0,5.5,3.2,4.2,8.2,4.6,6.7,4.1,2.1,3.0
